,movieID,recomendation,movie name,recomendation name
352,538,344,Six Degrees of Separation (1993),Ace Ventura: Pet Detective (1994)
353,539,903,Sleepless in Seattle (1993),Vertigo (1958)
354,540,2174,Sliver (1993),Beetlejuice (1988)
355,541,922,Blade Runner (1982),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
356,542,1,Son in Law (1993),Toy Story (1995)
357,543,1241,So I Married an Axe Murderer (1993),Dead Alive (Braindead) (1992)
358,544,1,Striking Distance (1993),Toy Story (1995)
359,546,2706,Super Mario Bros. (1993),American Pie (1999)
360,548,780,Terminal Velocity (1994),Independence Day (a.k.a. ID4) (1996)
361,549,1077,Thirty-Two Short Films About Glenn Gould (1993),Sleeper (1973)
362,550,112,Threesome (1994),Rumble in the Bronx (Hont faan kui) (1995)
363,551,4973,"Nightmare Before Christmas, The (1993)","Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
364,552,3793,"Three Musketeers, The (1993)",X-Men (2000)
365,553,110,Tombstone (1993),Braveheart (1995)
366,555,1240,True Romance (1993),"Terminator, The (1984)"
367,556,1175,"War Room, The (1993)",Delicatessen (1991)
368,558,3733,"Pagemaster, The (1994)","Paper Chase, The (1973)"
369,562,1569,Welcome to the Dollhouse (1995),My Best Friend's Wedding (1997)
370,569,2739,Little Big League (1994),"Color Purple, The (1985)"
371,574,965,Spanking the Monkey (1994),"39 Steps, The (1935)"
372,575,1258,"Little Rascals, The (1994)","Shining, The (1980)"
373,581,428,"Celluloid Closet, The (1995)","Bronx Tale, A (1993)"
374,585,1104,"Brady Bunch Movie, The (1995)","Streetcar Named Desire, A (1951)"
375,586,440,Home Alone (1990),Dave (1993)
376,587,589,Ghost (1990),Terminator 2: Judgment Day (1991)
377,588,592,Aladdin (1992),Batman (1989)
378,589,47610,Terminator 2: Judgment Day (1991),"Illusionist, The (2006)"
379,590,370,Dances with Wolves (1990),Naked Gun 33 1/3: The Final Insult (1994)
380,592,5952,Batman (1989),"Lord of the Rings: The Two Towers, The (2002)"
381,593,527,"Silence of the Lambs, The (1991)",Schindler's List (1993)
382,594,766,Snow White and the Seven Dwarfs (1937),I Shot Andy Warhol (1996)
383,595,48516,Beauty and the Beast (1991),"Departed, The (2006)"
384,596,1912,Pinocchio (1940),Out of Sight (1998)
385,597,7147,Pretty Woman (1990),Big Fish (2003)
386,599,125,"Wild Bunch, The (1969)",Flirting With Disaster (1996)
387,605,1,One Fine Day (1996),Toy Story (1995)
388,606,145,Candyman: Farewell to the Flesh (1995),Bad Boys (1995)
389,608,1203,Fargo (1996),12 Angry Men (1957)
390,609,2082,Homeward Bound II: Lost in San Francisco (1996),"Mighty Ducks, The (1992)"
391,610,1,Heavy Metal (1981),Toy Story (1995)
392,611,37731,Hellraiser: Bloodline (1996),Green Street Hooligans (a.k.a. Hooligans) (2005)
393,612,319,"Pallbearer, The (1996)",Shallow Grave (1994)
394,613,7366,Jane Eyre (1996),Jersey Girl (2004)
395,616,52281,"Aristocats, The (1970)",Grindhouse (2007)
396,627,135137,"Last Supper, The (1995)",Pixels (2015)
397,628,1365,Primal Fear (1996),Ridicule (1996)
398,631,176419,All Dogs Go to Heaven 2 (1996),Mother! (2017)
399,635,2918,"Family Thing, A (1996)",Ferris Bueller's Day Off (1986)
400,637,232,Sgt. Bilko (1996),Eat Drink Man Woman (Yin shi nan nu) (1994)
401,639,117533,Girl 6 (1996),Citizenfour (2014)
402,640,2529,Diabolique (1996),Planet of the Apes (1968)
403,647,1,Courage Under Fire (1996),Toy Story (1995)
404,648,4019,Mission: Impossible (1996),Finding Forrester (2000)
405,650,2726,Moll Flanders (1996),"Killing, The (1956)"
406,653,2918,Dragonheart (1996),Ferris Bueller's Day Off (1986)
407,656,168254,Eddie (1996),Kong: Skull Island (2017)
408,661,497,James and the Giant Peach (1996),Much Ado About Nothing (1993)
409,662,1,Fear (1996),Toy Story (1995)
410,663,3685,Kids in the Hall: Brain Candy (1996),Prizzi's Honor (1985)
411,665,3730,Underground (1995),"Conversation, The (1974)"
412,671,69604,Mystery Science Theater 3000: The Movie (1996),Whatever Works (2009)
413,673,163,Space Jam (1996),Desperado (1995)
414,674,1201,Barbarella (1968),"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
415,678,1982,Some Folks Call It a Sling Blade (1993),Halloween (1978)
416,680,5812,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Far from Heaven (2002)
417,688,3257,Operation Dumbo Drop (1995),"Bodyguard, The (1992)"
418,691,4235,Mrs. Winterbourne (1996),Amores Perros (Love's a Bitch) (2000)
