,index,movieId,title,genres
65,98,65,City Hall (1996),Drama|Thriller
66,99,66,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
67,102,67,Happy Gilmore (1996),Comedy
68,103,68,"Bridges of Madison County, The (1995)",Drama|Romance
69,105,69,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
70,108,70,Braveheart (1995),Action|Drama|War
71,109,71,Taxi Driver (1976),Crime|Drama|Thriller
72,110,72,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
73,120,73,Boomerang (1992),Comedy|Romance
74,121,74,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
75,123,75,Flirting With Disaster (1996),Comedy
76,133,76,Down Periscope (1996),Comedy
77,138,77,Up Close and Personal (1996),Drama|Romance
78,139,78,"Birdcage, The (1996)",Comedy
79,142,79,"Brothers McMullen, The (1995)",Comedy
80,143,80,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
81,145,81,"Basketball Diaries, The (1995)",Drama
82,148,82,Apollo 13 (1995),Adventure|Drama|IMAX
83,149,83,Rob Roy (1995),Action|Drama|Romance|War
84,151,84,Batman Forever (1995),Action|Adventure|Comedy|Crime
85,152,85,Beauty of the Day (Belle de jour) (1967),Drama
86,155,86,Canadian Bacon (1995),Comedy|War
87,156,87,Casper (1995),Adventure|Children
88,157,88,Clockers (1995),Crime|Drama|Mystery
89,158,89,Congo (1995),Action|Adventure|Mystery|Sci-Fi
90,159,90,Crimson Tide (1995),Drama|Thriller|War
91,160,91,Crumb (1994),Documentary
92,161,92,Desperado (1995),Action|Romance|Western
93,162,93,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
94,163,94,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
95,166,95,First Knight (1995),Action|Drama|Romance
96,167,96,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
97,168,97,Hackers (1995),Action|Adventure|Crime|Thriller
98,170,98,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
99,171,99,Judge Dredd (1995),Action|Crime|Sci-Fi
100,173,100,Kids (1995),Drama
101,174,101,Living in Oblivion (1995),Comedy
102,175,102,Lord of Illusions (1995),Horror
103,178,103,Mallrats (1995),Comedy|Romance
104,179,104,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
105,183,105,"Net, The (1995)",Action|Crime|Thriller
106,184,106,Nine Months (1995),Comedy|Romance
107,186,107,"Prophecy, The (1995)",Fantasy|Horror|Mystery
108,191,108,Showgirls (1995),Drama
109,192,109,Smoke (1995),Comedy|Drama
110,193,110,Something to Talk About (1995),Comedy|Drama|Romance
111,194,111,Species (1995),Horror|Sci-Fi
112,196,112,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
113,201,113,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
114,202,114,Under Siege 2: Dark Territory (1995),Action
115,205,115,"Walk in the Clouds, A (1995)",Drama|Romance
116,206,116,Waterworld (1995),Action|Adventure|Sci-Fi
117,213,117,Before Sunrise (1995),Drama|Romance
118,214,118,Billy Madison (1995),Comedy
119,216,119,Boys on the Side (1995),Comedy|Drama
120,219,120,Circle of Friends (1995),Drama|Romance
121,220,121,Clerks (1994),Comedy
122,221,122,Don Juan DeMarco (1995),Comedy|Drama|Romance
123,222,123,Disclosure (1994),Drama|Thriller
124,224,124,Drop Zone (1994),Action|Thriller
125,226,125,Death and the Maiden (1994),Drama|Thriller
126,227,126,Dolores Claiborne (1995),Drama|Thriller
127,228,127,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
128,229,128,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
129,230,129,Exotica (1994),Drama
130,231,130,Exit to Eden (1994),Comedy
131,232,131,Ed Wood (1994),Comedy|Drama
132,233,132,French Kiss (1995),Action|Comedy|Romance
133,234,133,Forget Paris (1995),Comedy|Romance
134,236,134,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
135,243,135,Hoop Dreams (1994),Documentary
136,244,136,Heavenly Creatures (1994),Crime|Drama
137,245,137,Houseguest (1994),Comedy
138,246,138,Immortal Beloved (1994),Drama|Romance
139,249,139,I.Q. (1994),Comedy|Romance
140,250,140,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
141,253,141,Junior (1994),Comedy|Sci-Fi
142,254,142,Just Cause (1995),Mystery|Thriller
143,257,143,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
144,258,144,Little Women (1994),Drama
145,259,145,"Little Princess, A (1995)",Children|Drama
146,262,146,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
147,263,147,Legends of the Fall (1994),Drama|Romance|War|Western
148,264,148,Major Payne (1995),Comedy
149,269,149,"Madness of King George, The (1994)",Comedy|Drama
150,270,150,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
151,273,151,Milk Money (1994),Comedy|Romance
152,274,152,Miracle on 34th Street (1994),Drama
153,277,153,Murder in the First (1995),Drama|Thriller
154,278,154,Nobody's Fool (1994),Comedy|Drama|Romance
155,279,155,Nell (1994),Drama
156,285,156,Natural Born Killers (1994),Action|Crime|Thriller
157,286,157,Only You (1994),Comedy|Romance
158,287,158,Once Were Warriors (1994),Crime|Drama
159,288,159,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
160,289,160,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
161,292,161,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
162,295,162,Priest (1994),Drama
163,296,163,Quiz Show (1994),Drama
164,299,164,"Quick and the Dead, The (1995)",Action|Thriller|Western
165,301,165,Ready to Wear (Pret-A-Porter) (1994),Comedy
166,302,166,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
167,303,167,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
168,304,168,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
169,310,169,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
170,311,170,"Specialist, The (1994)",Action|Drama|Thriller
171,312,171,Stargate (1994),Action|Adventure|Sci-Fi
172,313,172,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
173,314,173,"Shawshank Redemption, The (1994)",Crime|Drama
174,315,174,Shallow Grave (1994),Comedy|Drama|Thriller
175,318,175,Swimming with Sharks (1995),Comedy|Drama
176,322,176,Tank Girl (1995),Action|Comedy|Sci-Fi
177,323,177,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
178,324,178,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
179,327,179,Village of the Damned (1995),Horror|Sci-Fi
180,328,180,Tommy Boy (1995),Comedy
181,332,181,What's Eating Gilbert Grape (1993),Drama
182,333,182,Virtuosity (1995),Action|Sci-Fi|Thriller
183,334,183,While You Were Sleeping (1995),Comedy|Romance
184,337,184,Muriel's Wedding (1994),Comedy
185,339,185,Ace Ventura: Pet Detective (1994),Comedy
186,340,186,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
187,343,187,Bullets Over Broadway (1994),Comedy
188,344,188,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
189,345,189,"Client, The (1994)",Drama|Mystery|Thriller
190,346,190,"Corrina, Corrina (1994)",Comedy|Drama|Romance
191,348,191,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
192,350,192,"Flintstones, The (1994)",Children|Comedy|Fantasy
193,351,193,Forrest Gump (1994),Comedy|Drama|Romance|War
194,352,194,Four Weddings and a Funeral (1994),Comedy|Romance
195,353,195,Higher Learning (1995),Drama
196,356,196,It Could Happen to You (1994),Comedy|Drama|Romance
197,357,197,"Jungle Book, The (1994)",Adventure|Children|Romance
198,359,198,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
199,361,199,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
200,362,200,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
201,363,201,Maverick (1994),Adventure|Comedy|Western
202,365,202,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
203,366,203,"Paper, The (1994)",Comedy|Drama
204,367,204,Reality Bites (1994),Comedy|Drama|Romance
205,368,205,Red Rock West (1992),Thriller
206,369,206,Richie Rich (1994),Children|Comedy
207,371,207,"River Wild, The (1994)",Action|Thriller
208,372,208,Speed (1994),Action|Romance|Thriller
209,373,209,Speechless (1994),Comedy|Romance
210,374,210,Timecop (1994),Action|Sci-Fi|Thriller
211,375,211,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
212,376,212,When a Man Loves a Woman (1994),Drama|Romance
213,377,213,Wolf (1994),Drama|Horror|Romance|Thriller
214,378,214,Wyatt Earp (1994),Western
215,388,215,Street Fighter (1994),Action|Adventure|Fantasy
216,400,216,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
217,405,217,Addams Family Values (1993),Children|Comedy|Fantasy
218,407,218,"Age of Innocence, The (1993)",Drama
219,408,219,Airheads (1994),Comedy
220,410,220,Another Stakeout (1993),Comedy|Thriller
221,412,221,Barcelona (1994),Comedy|Romance
222,414,222,"Beverly Hillbillies, The (1993)",Comedy
223,415,223,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
224,418,224,Blown Away (1994),Action|Thriller
225,421,225,Body Snatchers (1993),Horror|Sci-Fi|Thriller
226,422,226,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
227,423,227,"Bronx Tale, A (1993)",Drama
228,426,228,Carlito's Way (1993),Crime|Drama
229,427,229,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
230,429,230,Cliffhanger (1993),Action|Adventure|Thriller
231,430,231,Coneheads (1993),Comedy|Sci-Fi
232,435,232,Dave (1993),Comedy|Romance
233,436,233,Dazed and Confused (1993),Comedy
234,437,234,Demolition Man (1993),Action|Adventure|Sci-Fi
235,441,235,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
236,443,236,Fearless (1993),Drama
237,445,237,With Honors (1994),Comedy|Drama
238,449,238,"Firm, The (1993)",Drama|Thriller
239,450,239,Free Willy (1993),Adventure|Children|Drama
240,452,240,"Fugitive, The (1993)",Thriller
241,459,241,Hard Target (1993),Action|Adventure|Crime|Thriller
242,461,242,Hot Shots! Part Deux (1993),Action|Comedy|War
243,463,243,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
244,466,244,"Hudsucker Proxy, The (1994)",Comedy
245,469,245,In the Line of Fire (1993),Action|Thriller
246,470,246,In the Name of the Father (1993),Drama
247,472,247,What's Love Got to Do with It? (1993),Drama|Musical
248,475,248,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
249,476,249,Kalifornia (1993),Drama|Thriller
250,477,250,Killing Zoe (1994),Crime|Drama|Thriller
251,480,251,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
252,484,252,Made in America (1993),Comedy
253,485,253,Malice (1993),Thriller
254,486,254,"Man Without a Face, The (1993)",Drama
255,487,255,Manhattan Murder Mystery (1993),Comedy|Mystery
256,488,256,Menace II Society (1993),Action|Crime|Drama
257,489,257,Executive Decision (1996),Action|Adventure|Thriller
258,492,258,Much Ado About Nothing (1993),Comedy|Romance
259,495,259,Mrs. Doubtfire (1993),Comedy|Drama
260,497,260,"Next Karate Kid, The (1994)",Action|Children|Romance
261,502,261,"Perfect World, A (1993)",Crime|Drama|Thriller
262,503,262,Philadelphia (1993),Drama
263,504,263,"Piano, The (1993)",Drama|Romance
264,509,264,"Ref, The (1994)",Comedy
265,510,265,"Remains of the Day, The (1993)",Drama|Romance
266,511,266,Renaissance Man (1994),Comedy|Drama
267,512,267,Rising Sun (1993),Action|Drama|Mystery
268,514,268,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
269,515,269,Robin Hood: Men in Tights (1993),Comedy
270,519,270,Rudy (1993),Drama
271,522,271,Schindler's List (1993),Drama|War
272,524,272,Searching for Bobby Fischer (1993),Drama
273,526,273,"Secret Garden, The (1993)",Children|Drama
274,527,274,Serial Mom (1994),Comedy|Crime|Horror
275,528,275,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
276,529,276,Shadowlands (1993),Drama|Romance
277,530,277,Short Cuts (1993),Drama
278,532,278,Sirens (1994),Drama
279,533,279,Six Degrees of Separation (1993),Drama
280,534,280,Sleepless in Seattle (1993),Comedy|Drama|Romance
281,535,281,Sliver (1993),Thriller
282,536,282,Blade Runner (1982),Action|Sci-Fi|Thriller
283,537,283,Son in Law (1993),Comedy|Drama|Romance
284,538,284,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
285,539,285,Striking Distance (1993),Action|Crime
286,540,286,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
287,542,287,Terminal Velocity (1994),Action|Mystery|Thriller
288,544,288,Threesome (1994),Comedy|Romance
289,545,289,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
290,546,290,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
291,547,291,Tombstone (1993),Action|Drama|Western
292,549,292,True Romance (1993),Crime|Thriller
293,555,293,Welcome to the Dollhouse (1995),Comedy|Drama
294,568,294,"Little Rascals, The (1994)",Children|Comedy
295,577,295,"Brady Bunch Movie, The (1995)",Comedy
296,578,296,Home Alone (1990),Children|Comedy
297,579,297,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
298,580,298,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
299,581,299,Terminator 2: Judgment Day (1991),Action|Sci-Fi
300,582,300,Dances with Wolves (1990),Adventure|Drama|Western
301,584,301,Batman (1989),Action|Crime|Thriller
302,585,302,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
303,586,303,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
304,587,304,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
305,588,305,Pinocchio (1940),Animation|Children|Fantasy|Musical
306,589,306,Pretty Woman (1990),Comedy|Romance
307,591,307,"Wild Bunch, The (1969)",Adventure|Western
308,597,308,One Fine Day (1996),Drama|Romance
309,600,309,Fargo (1996),Comedy|Crime|Drama|Thriller
310,601,310,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
311,602,311,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
312,605,312,Jane Eyre (1996),Drama|Romance
313,608,313,"Aristocats, The (1970)",Animation|Children
314,618,314,Primal Fear (1996),Crime|Drama|Mystery|Thriller
315,621,315,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
316,627,316,Sgt. Bilko (1996),Comedy
317,630,317,Diabolique (1996),Drama|Thriller
318,636,318,Courage Under Fire (1996),Action|Crime|Drama|War
319,637,319,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
320,642,320,Dragonheart (1996),Action|Adventure|Fantasy
321,650,321,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
322,651,322,Fear (1996),Thriller
323,652,323,Kids in the Hall: Brain Candy (1996),Comedy
324,659,324,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
325,661,325,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
326,662,326,Barbarella (1968),Adventure|Comedy|Sci-Fi
327,665,327,Some Folks Call It a Sling Blade (1993),Drama|Thriller
328,674,328,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
329,679,329,"Substitute, The (1996)",Action|Crime|Drama
330,692,330,Mulholland Falls (1996),Crime|Drama|Thriller
331,693,331,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
332,694,332,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
333,699,333,Dead Man (1995),Drama|Mystery|Western
334,704,334,Multiplicity (1996),Comedy
335,705,335,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
336,709,336,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
337,713,337,Cold Comfort Farm (1995),Comedy
338,718,338,"Rock, The (1996)",Action|Adventure|Thriller
339,721,339,Twister (1996),Action|Adventure|Romance|Thriller
340,722,340,Barb Wire (1996),Action|Sci-Fi
341,725,341,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
342,727,342,Spy Hard (1996),Comedy
343,729,343,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
344,732,344,"Arrival, The (1996)",Action|Sci-Fi|Thriller
345,734,345,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
346,745,346,"Phantom, The (1996)",Action|Adventure
347,746,347,Striptease (1996),Comedy|Crime
348,749,348,Jack (1996),Comedy|Drama
349,762,349,Trainspotting (1996),Comedy|Crime|Drama
350,764,350,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
351,766,351,"Fan, The (1996)",Drama|Thriller
352,767,352,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
353,768,353,"Cable Guy, The (1996)",Comedy|Thriller
354,769,354,Kingpin (1996),Comedy
355,770,355,Eraser (1996),Action|Drama|Thriller
356,772,356,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
357,782,357,Daylight (1996),Action|Adventure|Drama|Thriller
358,783,358,"Frighteners, The (1996)",Comedy|Horror|Thriller
359,784,359,Lone Star (1996),Drama|Mystery|Western
360,786,360,Phenomenon (1996),Drama|Romance
361,788,361,She's the One (1996),Comedy|Romance
362,789,362,"Time to Kill, A (1996)",Drama|Thriller
363,800,363,"Very Brady Sequel, A (1996)",Comedy
364,812,364,"First Wives Club, The (1996)",Comedy
365,814,365,Ransom (1996),Crime|Thriller
366,818,366,Chain Reaction (1996),Action|Adventure|Thriller
367,819,367,Matilda (1996),Children|Comedy|Fantasy
368,820,368,Emma (1996),Comedy|Drama|Romance
369,821,369,"Crow: City of Angels, The (1996)",Action|Thriller
370,831,370,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
371,834,371,Tin Cup (1996),Comedy|Drama|Romance
372,840,372,"Godfather, The (1972)",Crime|Drama
373,843,373,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action|Comedy|Crime|Thriller
374,847,374,Bound (1996),Crime|Drama|Romance|Thriller
375,860,375,"Relic, The (1997)",Horror|Thriller
376,861,376,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
377,877,377,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
378,878,378,Singin' in the Rain (1952),Comedy|Musical|Romance
379,879,379,"American in Paris, An (1951)",Musical|Romance
380,881,380,Breakfast at Tiffany's (1961),Drama|Romance
381,882,381,Vertigo (1958),Drama|Mystery|Romance|Thriller
382,883,382,Rear Window (1954),Mystery|Thriller
383,884,383,It Happened One Night (1934),Comedy|Romance
384,885,384,Gaslight (1944),Drama|Thriller
385,887,385,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
386,888,386,"Apartment, The (1960)",Comedy|Drama|Romance
387,889,387,Some Like It Hot (1959),Comedy|Crime
388,890,388,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller
389,891,389,Casablanca (1942),Drama|Romance
390,892,390,"Maltese Falcon, The (1941)",Film-Noir|Mystery
391,893,391,My Fair Lady (1964),Comedy|Drama|Musical|Romance
392,894,392,Sabrina (1954),Comedy|Romance
393,895,393,Roman Holiday (1953),Comedy|Drama|Romance
394,898,394,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
395,899,395,Gone with the Wind (1939),Drama|Romance|War
396,900,396,My Favorite Year (1982),Comedy
397,901,397,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
398,902,398,Citizen Kane (1941),Drama|Mystery
399,903,399,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
400,905,400,All About Eve (1950),Drama
401,907,401,Rebecca (1940),Drama|Mystery|Romance|Thriller
402,909,402,Notorious (1946),Film-Noir|Romance|Thriller
403,910,403,Spellbound (1945),Mystery|Romance|Thriller
404,911,404,"Affair to Remember, An (1957)",Drama|Romance
405,912,405,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller
406,913,406,Father of the Bride (1950),Comedy
407,919,407,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance
408,921,408,Laura (1944),Crime|Film-Noir|Mystery
409,924,409,Top Hat (1935),Comedy|Musical|Romance
410,928,410,East of Eden (1955),Drama
411,929,411,"Thin Man, The (1934)",Comedy|Crime
412,930,412,His Girl Friday (1940),Comedy|Romance
413,931,413,Around the World in 80 Days (1956),Adventure|Comedy
414,932,414,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
415,933,415,Mr. Smith Goes to Washington (1939),Drama
416,934,416,Bringing Up Baby (1938),Comedy|Romance
417,944,417,"39 Steps, The (1935)",Drama|Mystery|Thriller
418,947,418,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller
419,948,419,"African Queen, The (1951)",Adventure|Comedy|Romance|War
420,950,420,Cat on a Hot Tin Roof (1958),Drama
421,964,421,Fly Away Home (1996),Adventure|Children
422,969,422,Michael Collins (1996),Drama
423,972,423,Big Night (1996),Comedy|Drama
424,973,424,Last Man Standing (1996),Action|Crime|Drama|Thriller
425,976,425,2 Days in the Valley (1996),Crime|Film-Noir
426,986,426,Escape to Witch Mountain (1975),Adventure|Children|Fantasy
427,987,427,"Love Bug, The (1969)",Children|Comedy
428,989,428,Old Yeller (1957),Children|Drama
429,990,429,"Parent Trap, The (1961)",Children|Comedy|Romance
430,992,430,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama
431,994,431,Swiss Family Robinson (1960),Adventure|Children
432,996,432,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi
433,997,433,Cool Runnings (1993),Comedy
434,998,434,Angels in the Outfield (1994),Children|Comedy
435,999,435,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance
436,1000,436,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical
437,1002,437,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
438,1004,438,Robin Hood: Prince of Thieves (1991),Adventure|Drama
439,1005,439,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
440,1006,440,Dumbo (1941),Animation|Children|Drama|Musical
441,1007,441,Pete's Dragon (1977),Adventure|Animation|Children|Musical
442,1008,442,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
443,1009,443,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
444,1010,444,"Fox and the Hound, The (1981)",Animation|Children|Drama
445,1012,445,"Sound of Music, The (1965)",Musical|Romance
446,1013,446,Die Hard (1988),Action|Crime|Thriller
447,1014,447,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller
448,1018,448,Secrets & Lies (1996),Drama
449,1019,449,That Thing You Do! (1996),Comedy|Drama
450,1024,450,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
451,1025,451,"Ghost and the Darkness, The (1996)",Action|Adventure
452,1033,452,Everyone Says I Love You (1996),Comedy|Musical|Romance
453,1035,453,William Shakespeare's Romeo + Juliet (1996),Drama|Romance
454,1036,454,Swingers (1996),Comedy|Drama
455,1037,455,Sleepers (1996),Thriller
456,1047,456,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
457,1050,457,Sleeper (1973),Comedy|Sci-Fi
458,1051,458,Bananas (1971),Comedy|War
459,1052,459,"Fish Called Wanda, A (1988)",Comedy|Crime
460,1053,460,Monty Python's Life of Brian (1979),Comedy
461,1054,461,Victor/Victoria (1982),Comedy|Musical|Romance
462,1057,462,Bonnie and Clyde (1967),Crime|Drama
463,1059,463,Dial M for Murder (1954),Crime|Mystery|Thriller
