,title,genres,movieId
64,"Juror, The (1996)",Drama|Thriller,64
65,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,65
66,Antonia's Line (Antonia) (1995),Comedy|Drama,66
67,Angels and Insects (1995),Drama|Romance,67
68,White Squall (1996),Action|Adventure|Drama,68
69,Black Sheep (1996),Comedy,69
70,Nick of Time (1995),Action|Thriller,70
71,Mary Reilly (1996),Drama|Horror|Thriller,71
72,Vampire in Brooklyn (1995),Comedy|Horror|Romance,72
73,Beautiful Girls (1996),Comedy|Drama|Romance,73
74,Broken Arrow (1996),Action|Adventure|Thriller,74
75,"Hate (Haine, La) (1995)",Crime|Drama,75
76,City Hall (1996),Drama|Thriller,76
77,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,77
78,Mr. Wrong (1996),Comedy,78
79,Unforgettable (1996),Mystery|Sci-Fi|Thriller,79
80,Happy Gilmore (1996),Comedy,80
81,"Bridges of Madison County, The (1995)",Drama|Romance,81
82,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,82
83,Braveheart (1995),Action|Drama|War,83
84,Taxi Driver (1976),Crime|Drama|Thriller,84
85,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,85
86,"Young Poisoner's Handbook, The (1995)",Crime|Drama,86
87,If Lucy Fell (1996),Comedy|Romance,87
88,Boomerang (1992),Comedy|Romance,88
89,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,89
90,Flirting With Disaster (1996),Comedy,90
91,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,91
92,Jade (1995),Thriller,92
93,Down Periscope (1996),Comedy,93
94,Up Close and Personal (1996),Drama|Romance,94
95,"Birdcage, The (1996)",Comedy,95
96,"Brothers McMullen, The (1995)",Comedy,96
97,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,97
98,"Basketball Diaries, The (1995)",Drama,98
99,Amateur (1994),Crime|Drama|Thriller,99
100,Apollo 13 (1995),Adventure|Drama|IMAX,100
101,Rob Roy (1995),Action|Drama|Romance|War,101
102,Batman Forever (1995),Action|Adventure|Comedy|Crime,102
103,Beauty of the Day (Belle de jour) (1967),Drama,103
104,Beyond Rangoon (1995),Adventure|Drama|War,104
105,Blue in the Face (1995),Comedy|Drama,105
106,Canadian Bacon (1995),Comedy|War,106
107,Casper (1995),Adventure|Children,107
108,Clockers (1995),Crime|Drama|Mystery,108
109,Congo (1995),Action|Adventure|Mystery|Sci-Fi,109
110,Crimson Tide (1995),Drama|Thriller|War,110
111,Crumb (1994),Documentary,111
112,Desperado (1995),Action|Romance|Western,112
113,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,113
114,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,114
115,First Knight (1995),Action|Drama|Romance,115
116,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,116
117,Hackers (1995),Action|Adventure|Crime|Thriller,117
118,Jeffrey (1995),Comedy|Drama,118
119,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,119
120,Judge Dredd (1995),Action|Crime|Sci-Fi,120
121,Jury Duty (1995),Comedy,121
122,Kids (1995),Drama,122
123,Living in Oblivion (1995),Comedy,123
124,Lord of Illusions (1995),Horror,124
125,Mad Love (1995),Drama|Romance,125
126,Mallrats (1995),Comedy|Romance,126
127,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,127
128,"Net, The (1995)",Action|Crime|Thriller,128
129,Nine Months (1995),Comedy|Romance,129
130,"Prophecy, The (1995)",Fantasy|Horror|Mystery,130
131,"Scarlet Letter, The (1995)",Drama|Romance,131
132,Showgirls (1995),Drama,132
133,Smoke (1995),Comedy|Drama,133
134,Something to Talk About (1995),Comedy|Drama|Romance,134
135,Species (1995),Horror|Sci-Fi,135
136,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,136
137,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,137
138,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,138
139,Under Siege 2: Dark Territory (1995),Action,139
140,Unstrung Heroes (1995),Comedy|Drama,140
141,"Walk in the Clouds, A (1995)",Drama|Romance,141
142,Waterworld (1995),Action|Adventure|Sci-Fi,142
143,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,143
144,Before Sunrise (1995),Drama|Romance,144
145,Billy Madison (1995),Comedy,145
146,Boys on the Side (1995),Comedy|Drama,146
147,Circle of Friends (1995),Drama|Romance,147
148,Clerks (1994),Comedy,148
149,Don Juan DeMarco (1995),Comedy|Drama|Romance,149
150,Disclosure (1994),Drama|Thriller,150
151,Drop Zone (1994),Action|Thriller,151
152,Death and the Maiden (1994),Drama|Thriller,152
153,Dolores Claiborne (1995),Drama|Thriller,153
154,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,154
155,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,155
156,Exotica (1994),Drama,156
157,Exit to Eden (1994),Comedy,157
158,Ed Wood (1994),Comedy|Drama,158
159,French Kiss (1995),Action|Comedy|Romance,159
160,Forget Paris (1995),Comedy|Romance,160
161,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,161
162,Farinelli: il castrato (1994),Drama|Musical,162
163,Hoop Dreams (1994),Documentary,163
164,Heavenly Creatures (1994),Crime|Drama,164
165,Houseguest (1994),Comedy,165
166,Immortal Beloved (1994),Drama|Romance,166
167,I.Q. (1994),Comedy|Romance,167
168,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,168
169,Junior (1994),Comedy|Sci-Fi,169
170,Just Cause (1995),Mystery|Thriller,170
171,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,171
172,Kiss of Death (1995),Crime|Drama|Thriller,172
173,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,173
174,Little Women (1994),Drama,174
175,"Little Princess, A (1995)",Children|Drama,175
176,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,176
177,Legends of the Fall (1994),Drama|Romance|War|Western,177
178,Major Payne (1995),Comedy,178
179,Love Affair (1994),Drama|Romance,179
180,Losing Isaiah (1995),Drama,180
181,"Madness of King George, The (1994)",Comedy|Drama,181
182,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,182
183,Man of the House (1995),Comedy,183
184,Mixed Nuts (1994),Comedy,184
185,Milk Money (1994),Comedy|Romance,185
186,Miracle on 34th Street (1994),Drama,186
187,Miami Rhapsody (1995),Comedy,187
188,Murder in the First (1995),Drama|Thriller,188
189,Nobody's Fool (1994),Comedy|Drama|Romance,189
190,Nell (1994),Drama,190
191,Natural Born Killers (1994),Action|Crime|Thriller,191
192,Only You (1994),Comedy|Romance,192
193,Once Were Warriors (1994),Crime|Drama,193
194,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,194
195,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,195
196,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,196
197,Priest (1994),Drama,197
198,Quiz Show (1994),Drama,198
199,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,199
200,"Quick and the Dead, The (1995)",Action|Thriller|Western,200
201,Ready to Wear (Pret-A-Porter) (1994),Comedy,201
202,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,202
203,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,203
204,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,204
205,Stuart Saves His Family (1995),Comedy,205
206,"Swan Princess, The (1994)",Animation|Children,206
207,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,207
208,"Specialist, The (1994)",Action|Drama|Thriller,208
209,Stargate (1994),Action|Adventure|Sci-Fi,209
210,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,210
211,"Shawshank Redemption, The (1994)",Crime|Drama,211
212,Shallow Grave (1994),Comedy|Drama|Thriller,212
213,Swimming with Sharks (1995),Comedy|Drama,213
214,To Live (Huozhe) (1994),Drama,214
215,Tank Girl (1995),Action|Comedy|Sci-Fi,215
216,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,216
217,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,217
218,Tales from the Hood (1995),Action|Crime|Horror,218
219,Village of the Damned (1995),Horror|Sci-Fi,219
220,Tommy Boy (1995),Comedy,220
221,Vanya on 42nd Street (1994),Drama,221
222,What's Eating Gilbert Grape (1993),Drama,222
223,Virtuosity (1995),Action|Sci-Fi|Thriller,223
224,While You Were Sleeping (1995),Comedy|Romance,224
225,"War, The (1994)",Adventure|Drama|War,225
226,Muriel's Wedding (1994),Comedy,226
227,Ace Ventura: Pet Detective (1994),Comedy,227
228,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,228
229,Backbeat (1993),Drama|Musical,229
230,Bitter Moon (1992),Drama|Film-Noir|Romance,230
231,Bullets Over Broadway (1994),Comedy,231
232,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,232
233,"Client, The (1994)",Drama|Mystery|Thriller,233
234,"Corrina, Corrina (1994)",Comedy|Drama|Romance,234
235,Crooklyn (1994),Comedy|Drama,235
236,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,236
237,Cobb (1994),Drama,237
238,"Flintstones, The (1994)",Children|Comedy|Fantasy,238
239,Forrest Gump (1994),Comedy|Drama|Romance|War,239
240,Four Weddings and a Funeral (1994),Comedy|Romance,240
241,Higher Learning (1995),Drama,241
242,I Love Trouble (1994),Action|Comedy,242
243,It Could Happen to You (1994),Comedy|Drama|Romance,243
244,"Jungle Book, The (1994)",Adventure|Children|Romance,244
245,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,245
246,Little Buddha (1993),Drama,246
247,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,247
248,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,248
249,Maverick (1994),Adventure|Comedy|Western,249
250,Mrs. Parker and the Vicious Circle (1994),Drama,250
251,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,251
252,"Paper, The (1994)",Comedy|Drama,252
253,Reality Bites (1994),Comedy|Drama|Romance,253
254,Red Rock West (1992),Thriller,254
255,Richie Rich (1994),Children|Comedy,255
256,"River Wild, The (1994)",Action|Thriller,256
257,Speed (1994),Action|Romance|Thriller,257
258,Speechless (1994),Comedy|Romance,258
259,Timecop (1994),Action|Sci-Fi|Thriller,259
260,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,260
261,When a Man Loves a Woman (1994),Drama|Romance,261
262,Wolf (1994),Drama|Horror|Romance|Thriller,262
263,Wyatt Earp (1994),Western,263
264,Street Fighter (1994),Action|Adventure|Fantasy,264
265,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,265
266,In the Mouth of Madness (1995),Horror|Thriller,266
267,Addams Family Values (1993),Children|Comedy|Fantasy,267
268,"Age of Innocence, The (1993)",Drama,268
269,Airheads (1994),Comedy,269
270,Another Stakeout (1993),Comedy|Thriller,270
271,Bad Girls (1994),Western,271
272,Barcelona (1994),Comedy|Romance,272
273,"Beverly Hillbillies, The (1993)",Comedy,273
274,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,274
275,Black Beauty (1994),Adventure|Children|Drama,275
276,Blink (1994),Thriller,276
277,Blown Away (1994),Action|Thriller,277
278,Body Snatchers (1993),Horror|Sci-Fi|Thriller,278
279,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,279
280,"Bronx Tale, A (1993)",Drama,280
281,Cabin Boy (1994),Comedy,281
282,Carlito's Way (1993),Crime|Drama,282
283,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,283
284,Clean Slate (1994),Comedy,284
285,Cliffhanger (1993),Action|Adventure|Thriller,285
286,Coneheads (1993),Comedy|Sci-Fi,286
287,Color of Night (1994),Drama|Thriller,287
288,Cops and Robbersons (1994),Comedy,288
289,Dave (1993),Comedy|Romance,289
290,Dazed and Confused (1993),Comedy,290
291,Demolition Man (1993),Action|Adventure|Sci-Fi,291
292,Even Cowgirls Get the Blues (1993),Comedy|Romance,292
293,Fatal Instinct (1993),Comedy,293
294,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,294
295,Fearless (1993),Drama,295
296,With Honors (1994),Comedy|Drama,296
297,Widows' Peak (1994),Drama,297
298,"Firm, The (1993)",Drama|Thriller,298
299,Free Willy (1993),Adventure|Children|Drama,299
300,"Fugitive, The (1993)",Thriller,300
301,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,301
302,Hard Target (1993),Action|Adventure|Crime|Thriller,302
303,Hot Shots! Part Deux (1993),Action|Comedy|War,303
304,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,304
305,"House of the Spirits, The (1993)",Drama|Romance,305
306,"Hudsucker Proxy, The (1994)",Comedy,306
307,In the Army Now (1994),Comedy|War,307
308,In the Line of Fire (1993),Action|Thriller,308
309,In the Name of the Father (1993),Drama,309
310,What's Love Got to Do with It? (1993),Drama|Musical,310
311,Judgment Night (1993),Action|Crime|Thriller,311
312,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,312
313,Kalifornia (1993),Drama|Thriller,313
314,Killing Zoe (1994),Crime|Drama|Thriller,314
315,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,315
316,Made in America (1993),Comedy,316
317,Malice (1993),Thriller,317
318,"Man Without a Face, The (1993)",Drama,318
319,Manhattan Murder Mystery (1993),Comedy|Mystery,319
320,Menace II Society (1993),Action|Crime|Drama,320
321,Executive Decision (1996),Action|Adventure|Thriller,321
322,Much Ado About Nothing (1993),Comedy|Romance,322
323,Mrs. Doubtfire (1993),Comedy|Drama,323
324,Naked (1993),Drama,324
325,"Next Karate Kid, The (1994)",Action|Children|Romance,325
326,No Escape (1994),Action|Drama|Sci-Fi,326
327,North (1994),Comedy,327
328,Orlando (1992),Drama|Fantasy|Romance,328
329,"Perfect World, A (1993)",Crime|Drama|Thriller,329
330,Philadelphia (1993),Drama,330
331,"Piano, The (1993)",Drama|Romance,331
332,"Program, The (1993)",Action|Drama,332
333,"Puppet Masters, The (1994)",Horror|Sci-Fi,333
334,"Ref, The (1994)",Comedy,334
335,"Remains of the Day, The (1993)",Drama|Romance,335
336,Renaissance Man (1994),Comedy|Drama,336
337,Rising Sun (1993),Action|Drama|Mystery,337
338,"Road to Wellville, The (1994)",Comedy,338
339,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller,339
340,Robin Hood: Men in Tights (1993),Comedy,340
341,Romeo Is Bleeding (1993),Crime|Thriller,341
342,Romper Stomper (1992),Action|Drama,342
343,Rudy (1993),Drama,343
344,Schindler's List (1993),Drama|War,344
345,Searching for Bobby Fischer (1993),Drama,345
346,"Secret Garden, The (1993)",Children|Drama,346
347,Serial Mom (1994),Comedy|Crime|Horror,347
348,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,348
349,Shadowlands (1993),Drama|Romance,349
350,Short Cuts (1993),Drama,350
351,Sirens (1994),Drama,351
352,Six Degrees of Separation (1993),Drama,352
353,Sleepless in Seattle (1993),Comedy|Drama|Romance,353
354,Sliver (1993),Thriller,354
355,Blade Runner (1982),Action|Sci-Fi|Thriller,355
356,Son in Law (1993),Comedy|Drama|Romance,356
357,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,357
358,Striking Distance (1993),Action|Crime,358
359,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,359
360,Terminal Velocity (1994),Action|Mystery|Thriller,360
361,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical,361
362,Threesome (1994),Comedy|Romance,362
363,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,363
364,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,364
365,Tombstone (1993),Action|Drama|Western,365
366,True Romance (1993),Crime|Thriller,366
367,"War Room, The (1993)",Documentary,367
368,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy,368
369,Welcome to the Dollhouse (1995),Comedy|Drama,369
370,Little Big League (1994),Comedy|Drama,370
371,Spanking the Monkey (1994),Comedy|Drama,371
372,"Little Rascals, The (1994)",Children|Comedy,372
373,"Celluloid Closet, The (1995)",Documentary,373
374,"Brady Bunch Movie, The (1995)",Comedy,374
375,Home Alone (1990),Children|Comedy,375
376,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,376
377,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,377
378,Terminator 2: Judgment Day (1991),Action|Sci-Fi,378
379,Dances with Wolves (1990),Adventure|Drama|Western,379
380,Batman (1989),Action|Crime|Thriller,380
381,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,381
382,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,382
383,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,383
384,Pinocchio (1940),Animation|Children|Fantasy|Musical,384
385,Pretty Woman (1990),Comedy|Romance,385
386,"Wild Bunch, The (1969)",Adventure|Western,386
387,One Fine Day (1996),Drama|Romance,387
388,Candyman: Farewell to the Flesh (1995),Fantasy|Horror,388
389,Fargo (1996),Comedy|Crime|Drama|Thriller,389
390,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children,390
391,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi,391
392,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi,392
393,"Pallbearer, The (1996)",Comedy,393
394,Jane Eyre (1996),Drama|Romance,394
395,"Aristocats, The (1970)",Animation|Children,395
396,"Last Supper, The (1995)",Drama|Thriller,396
397,Primal Fear (1996),Crime|Drama|Mystery|Thriller,397
398,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,398
399,"Family Thing, A (1996)",Comedy|Drama,399
400,Sgt. Bilko (1996),Comedy,400
401,Girl 6 (1996),Comedy|Drama,401
402,Diabolique (1996),Drama|Thriller,402
403,Courage Under Fire (1996),Action|Crime|Drama|War,403
404,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,404
405,Moll Flanders (1996),Drama,405
406,Dragonheart (1996),Action|Adventure|Fantasy,406
407,Eddie (1996),Comedy,407
408,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,408
409,Fear (1996),Thriller,409
410,Kids in the Hall: Brain Candy (1996),Comedy,410
411,Underground (1995),Comedy|Drama|War,411
412,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,412
413,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,413
414,Barbarella (1968),Adventure|Comedy|Sci-Fi,414
415,Some Folks Call It a Sling Blade (1993),Drama|Thriller,415
416,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller,416
417,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War,417
418,Mrs. Winterbourne (1996),Comedy|Romance,418
419,"Substitute, The (1996)",Action|Crime|Drama,419
420,Feeling Minnesota (1996),Drama|Romance,420
421,Angus (1995),Comedy,421
422,"Quest, The (1996)",Action|Adventure,422
423,Mulholland Falls (1996),Crime|Drama|Thriller,423
424,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,424
425,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical,425
426,Celtic Pride (1996),Comedy,426
427,Flipper (1996),Adventure|Children,427
428,Dead Man (1995),Drama|Mystery|Western,428
429,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi,429
430,Multiplicity (1996),Comedy,430
431,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,431
432,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller,432
433,"Great White Hype, The (1996)",Comedy,433
434,Cold Comfort Farm (1995),Comedy,434
435,"Rock, The (1996)",Action|Adventure|Thriller,435
436,Cemetery Man (Dellamorte Dellamore) (1994),Horror,436
437,Twister (1996),Action|Adventure|Romance|Thriller,437
438,Barb Wire (1996),Action|Sci-Fi,438
439,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi,439
440,Thinner (1996),Horror|Thriller,440
441,Spy Hard (1996),Comedy,441
442,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy,442
443,"Arrival, The (1996)",Action|Sci-Fi|Thriller,443
444,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,444
445,"Phantom, The (1996)",Action|Adventure,445
446,Striptease (1996),Comedy|Crime,446
447,Jack (1996),Comedy|Drama,447
448,I Shot Andy Warhol (1996),Drama,448
449,Trainspotting (1996),Comedy|Crime|Drama,449
450,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,450
451,Stealing Beauty (1996),Drama,451
452,"Fan, The (1996)",Drama|Thriller,452
453,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance,453
454,"Cable Guy, The (1996)",Comedy|Thriller,454
455,Kingpin (1996),Comedy,455
456,Eraser (1996),Action|Drama|Thriller,456
457,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,457
458,Daylight (1996),Action|Adventure|Drama|Thriller,458
459,"Frighteners, The (1996)",Comedy|Horror|Thriller,459
460,Lone Star (1996),Drama|Mystery|Western,460
461,Harriet the Spy (1996),Children|Comedy,461
462,Phenomenon (1996),Drama|Romance,462
463,She's the One (1996),Comedy|Romance,463
464,"Time to Kill, A (1996)",Drama|Thriller,464
465,Fled (1996),Action|Adventure,465
466,Kazaam (1996),Children|Comedy|Fantasy,466
467,"Very Brady Sequel, A (1996)",Comedy,467
468,"Adventures of Pinocchio, The (1996)",Adventure|Children,468
469,Joe's Apartment (1996),Comedy|Fantasy|Musical,469
470,"First Wives Club, The (1996)",Comedy,470
471,Ransom (1996),Crime|Thriller,471
472,High School High (1996),Comedy,472
473,Chain Reaction (1996),Action|Adventure|Thriller,473
474,Matilda (1996),Children|Comedy|Fantasy,474
475,Emma (1996),Comedy|Drama|Romance,475
476,"Crow: City of Angels, The (1996)",Action|Thriller,476
477,Tales from the Crypt Presents: Bordello of Blood (1996),Comedy|Horror,477
478,"Spitfire Grill, The (1996)",Drama,478
479,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,479
480,Basquiat (1996),Drama,480
481,Tin Cup (1996),Comedy|Drama|Romance,481
482,"Godfather, The (1972)",Crime|Drama,482
483,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action|Comedy|Crime|Thriller,483
484,Bound (1996),Crime|Drama|Romance|Thriller,484
485,"Relic, The (1997)",Horror|Thriller,485
486,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller,486
487,First Kid (1996),Children|Comedy,487
488,Bulletproof (1996),Action|Comedy|Crime,488
489,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror|Thriller,489
490,Twelfth Night (1996),Comedy|Drama|Romance,490
491,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,491
492,Singin' in the Rain (1952),Comedy|Musical|Romance,492
493,"American in Paris, An (1951)",Musical|Romance,493
494,Funny Face (1957),Comedy|Musical,494
495,Breakfast at Tiffany's (1961),Drama|Romance,495
496,Vertigo (1958),Drama|Mystery|Romance|Thriller,496
497,Rear Window (1954),Mystery|Thriller,497
498,It Happened One Night (1934),Comedy|Romance,498
499,Gaslight (1944),Drama|Thriller,499
500,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,500
501,"Apartment, The (1960)",Comedy|Drama|Romance,501
502,Some Like It Hot (1959),Comedy|Crime,502
503,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller,503
504,Casablanca (1942),Drama|Romance,504
505,"Maltese Falcon, The (1941)",Film-Noir|Mystery,505
506,My Fair Lady (1964),Comedy|Drama|Musical|Romance,506
507,Sabrina (1954),Comedy|Romance,507
508,Roman Holiday (1953),Comedy|Drama|Romance,508
